MeV,cps/MeV
0.1974541237,1.923735868
0.2129967938,1.649167433
0.2401964663,1.423466091
0.2699865839,1.290013569
0.2868244764,1.108052089
0.303662369,0.957339214
0.314024149,0.8271257097
0.3412238215,0.7097642544
0.3878518316,0.7037368415
0.4218514223,0.61607055
0.4539081793,0.6727177232
0.4888791868,0.7916317822
0.5199645269,0.7710707747
0.5355071969,0.6469951852
0.543278532,0.5606303528
0.5595983355,0.4823968214
0.5704782045,0.4148377697
0.5730686495,0.3556293518
0.5957350433,0.2699012932
0.5993431631,0.3127832809
0.6415304104,0.3796810037
0.6681749876,0.3261255072
0.6901567638,0.2725979464
0.7310857948,0.2502240293
0.7479236874,0.2086675647
0.7725329149,0.2798123634
0.7736431056,0.2372184938
0.7948755031,0.2047390505
0.8260687784,0.2360104766
0.8381575217,0.1935803151
0.8688974691,0.2254135159
0.8891029402,0.1995672061
0.9007599427,0.1656280576
0.9046456102,0.1419539208
0.9201882802,0.0913392447
0.9324003781,0.1309725125
0.9690366718,0.1702578422
0.9719971803,0.1970064802
0.9745876253,0.1530548061
1.014554491,0.1897904434
1.018107101,0.2164988124
1.021215635,0.1658973319
1.07328358,0.1631287464
1.077169248,0.1411055595
1.083386316,0.2001028343
1.095043318,0.1243612347
1.106700321,0.1665994955
1.114471656,0.06905955506
1.120123536,0.1068763989
1.122242991,0.09081805977
1.135565279,0.1292334574
1.163690111,0.1091348423
1.168871001,0.16038552
1.176642336,0.1250906354
1.18330348,0.1387442729
1.218089456,0.1082871843
1.227156013,0.1403032872
1.233632126,0.126562296
1.246584351,0.09899969877
1.260184187,0.1122636079
1.271008547,0.1551792254
1.283220645,0.1321816689
1.324297701,0.1175718098
1.339840371,0.1052252772
1.369630489,0.09851841033
1.383359847,0.1110231197
1.417553721,0.09502884728
1.423382223,0.02819795369
1.426435247,0.07075845318
1.429210724,0.05990479658
1.431542124,0.03202267875
1.434650658,0.04146824264
1.436982059,0.04979459224
1.440867726,0.06137724909
1.464181731,0.0731833459
1.468067399,0.05022861621
1.468844532,0.09403377463
1.471953066,0.09385177666
1.495267071,0.10517913
1.505628851,0.1385705141
1.526352411,0.1556498904
1.537037997,0.2023583542
1.538009414,0.17254895
1.555494918,0.1347742445
1.56423767,0.1116090014
1.572980422,0.1496019729
1.584637424,0.09378663883
1.588523092,0.1278018969
1.598884872,0.08928213106
1.61028283,0.1089662988
1.638683527,0.0931283052
1.666236442,0.1059309035
1.688440256,0.08620370043
1.707035951,0.1083927804
1.709755918,0.07653918885
1.716750119,0.0659355511
1.735314975,0.09328522133
1.755606794,0.1140002753
1.760787684,0.08611972086
1.787987357,0.101937209
1.802234805,0.08306932455
1.80482525,0.1227156597
1.832348728,0.1093477916
1.871823577,0.09320260097
1.914919162,0.08800775423
1.927353298,0.06769375723
1.938233167,0.07987077835
1.97579462,0.0731833459
1.999540366,0.08637190533
2.037141068,0.07572967377
2.059984083,0.08738804956
2.090205941,0.07375621566
2.124745208,0.08194350606
2.128630875,0.06697186125
2.16748755,0.06929592751
2.175258885,0.08186367677
2.19857289,0.09184174314
2.246172317,0.08775079349
2.288720377,0.07927248895
2.318057166,0.06985538654
2.353999591,0.0503100945
2.363325193,0.05990559155
2.369542261,0.04893180211
2.390524865,0.06873089982
2.410730336,0.05848631934
2.455026946,0.04385008751
2.455923638,0.05541281735
2.467794139,0.06860469142
2.493883621,0.06889186453
2.499323555,0.05614044869
2.537736154,0.04556614218
2.539216409,0.03899090846
2.540511631,0.03506098735
2.552168634,0.05622258667
2.563825636,0.06916097721
2.588905854,0.04771160305
2.606567979,0.05638722332
2.610453646,0.04988627248
2.612219859,0.07145390121
2.618224981,0.0454824705
2.653195989,0.07108366886
2.65541637,0.06279056538
2.666148214,0.05579496476
2.708372467,0.05814528694
2.755518567,0.05752521723
2.765880347,0.04893180211
2.800851354,0.05680092727
2.811213134,0.04850444627
2.855250699,0.04141976937
2.865242416,0.04830225733
2.886336039,0.06146704892
2.902585194,0.04989058998
2.939440162,0.05452265724
2.974041106,0.04754159602
3.002906065,0.05274544563
3.022334402,0.03405063979
3.023111536,0.03794120147
3.02622007,0.04451757971
3.053419742,0.05142558992
3.054196876,0.06050412371
3.07284808,0.04521726325
3.080619415,0.06535968956
3.084505082,0.0551641029
3.115943665,0.04598495242
3.162571675,0.05026330923
3.170421508,0.04240008907
3.198743707,0.05574785369
3.211621919,0.04895224604
3.254503036,0.04792097345
3.296662528,0.05539038721
3.3215308,0.05732365511
3.364273143,0.06686750148
3.40442504,0.06081155546
3.410901153,0.06956661858
3.454420629,0.06543617955
3.501381696,0.06849015764
3.527471178,0.0620690814
3.574099188,0.07346922242
3.576042022,0.05888671934
3.620727198,0.05660197193
3.660879096,0.05238680319
3.675126543,0.05630484482
3.705152156,0.04723208612
3.720089267,0.05727744974
3.752839894,0.04456099099
3.753394989,0.0513397362
3.787810901,0.05431050381
3.81667586,0.06315884315
3.847650181,0.07346922242
3.884952589,0.08553415018
3.935466266,0.09121726559
3.945828046,0.08258494921
3.970437274,0.09642838519
3.985548203,0.07927248895
4.021657437,0.06337506966
4.048150624,0.06929592751
4.071111387,0.0589545893
4.101254747,0.05112572847
4.110321304,0.05952146482
4.141406644,0.05001673748
4.143349478,0.04215285512
4.149177979,0.05680092727
4.184148987,0.04151677263
4.185444209,0.03670447628
4.232997378,0.03663299617
4.251500557,0.03150668661
4.263805171,0.02714620145
4.286039824,0.03779356824
4.295538122,0.03332827031
4.308490347,0.03728136114
4.316261682,0.04233814497
4.336985242,0.05033461844
4.362889692,0.0578062431
4.400636177,0.06831871538
4.401746367,0.05943450737
4.43412693,0.05669031035
4.438660209,0.06255495014
4.449928645,0.07219150969
4.471688383,0.06929592751
4.481680099,0.05604672364
4.513998984,0.04545292638
4.518316393,0.05233576801
4.526087728,0.03999162373
4.545516065,0.02865510268
4.546293199,0.03285735956
4.550511923,0.02540710647
4.588258408,0.01996383581
4.591172658,0.02372981134
4.601210633,0.01684088115
4.606715328,0.01458337932
4.627115083,0.01763602879
4.648702125,0.01194215188
4.653019533,0.01050769567
4.654314755,0.007822982047
4.661530995,0.01057674569
