MeV,integrated
2.539216409,0.5999309817
2.540511631,0.6003396877
2.552168634,0.6009950746
2.563825636,0.6027296469
2.588905854,0.6035723352
2.606567979,0.6037914372
2.610453646,0.6037914372
2.610453646,0.6038578157
2.612219859,0.6042869051
2.618224981,0.6058774729
2.653195989,0.6060353058
2.65541637,0.6067091643
2.666148214,0.609065065
2.708372467,0.6118063885
2.755518567,0.6124024521
2.765880347,0.6141136466
2.800851354,0.6147022053
2.811213134,0.616838223
2.855250699,0.6172520776
2.865242416,0.6182709472
2.886336039,0.6192697348
2.902585194,0.6211084509
2.939440162,0.6229949863
2.974041106,0.6243672725
3.002906065,0.6253920288
3.022334402,0.6254184907
3.023111536,0.6255364322
3.02622007,0.6267472958
3.053419742,0.6267872604
3.054196876,0.6279157351
3.07284808,0.6282671336
3.080619415,0.6285210997
3.084505082,0.6302553809
3.115943665,0.6323995677
3.162571675,0.6327941263
3.170421508,0.63399499
3.198743707,0.6347129227
3.211621919,0.6368120497
3.254503036,0.6388323736
3.296662528,0.6402098368
3.3215308,0.6402098368
3.3215308,0.6424467902
3.364273143,0.6451316472
3.40442504,0.6455254697
3.410901153,0.6485529725
3.454420629,0.6516259253
3.501381696,0.6534127981
3.527471178,0.6563069558
3.574099188,0.6564496943
3.576042022,0.6590810577
3.620727198,0.6613537343
3.660879096,0.6621001125
3.675126543,0.6637907
3.705152156,0.6644962109
3.720089267,0.6663720833
3.752839894,0.6663968189
3.753394989,0.6681637227
3.787810901,0.6697313932
3.81667586,0.6716876955
3.847650181,0.6744282744
3.884952589,0.6787489189
3.935466266,0.6796940921
3.945828046,0.6817264439
3.970437274,0.6831835664
3.985548203,0.6860460352
4.021657437,0.6877250428
4.048150624,0.6893161302
4.071111387,0.6910932196
4.101254747,0.6915567539
4.110321304,0.6934069989
4.141406644,0.6935041731
4.143349478,0.6937498611
4.149177979,0.6957362467
4.184148987,0.6957900202
4.185444209,0.6975354344
4.232997378,0.6982132612
4.251500557,0.6986009388
4.263805171,0.6992045252
4.286039824,0.6995634998
4.295538122,0.6999951751
4.308490347,0.700284901
4.316261682,0.7011622981
4.336985242,0.7024661887
4.362889692,0.7046481711
4.400636177,0.704724018
4.401746367,0.7066485407
4.43412693,0.7069055337
4.438660209,0.7076104302
4.449928645,0.7091812985
4.471688383,0.7098736838
4.481680099,0.7116850514
4.513998984,0.7118812902
4.518316393,0.712288009
4.526087728,0.7130649798
4.545516065,0.7130872486
4.546293199,0.7132258648
4.550511923,0.7141848937
4.588258408,0.7142430733
4.591172658,0.7144812726
4.601210633,0.7145739765
4.606715328,0.7148714739
4.627115083,0.7152521836
4.648702125,0.7153037427
4.653019533,0.7153037427
4.653019533,0.7153126
4.654314755,0.7153690525
4.661530995,0.7154776679
4.671800259,0.7157824613
4.704828433,0.7158413804
4.711489577,0.7158520559
4.712599768,0.7162129748
4.743685108,0.7162533016
4.746275553,0.7165103743
4.766135632,0.7168110457
4.794198786,0.7168692319
4.801970121,0.7169627648
4.809741456,0.7169894967
4.812763642,0.7174179009
4.855074243,0.7174522776
4.858700866,0.7177420851
4.884540555,0.7177673954
4.887454806,0.7177673954
4.887454806,0.7178176527
4.896891427,0.7178422208
4.899111808,0.7179207675
4.90494031,0.7181019572
4.929086958,0.7181631265
4.93602565,0.7182007204
4.941854151,0.7182143747
4.944185552,0.7184239719
4.971644269,0.718455363
4.974604777,0.7186863722
5.000139164,0.7187572889
5.005320054,0.7188367841
5.015681834,0.7188820791
5.019567501,0.7189206754
5.023453169,0.7190155607
5.034138754,0.7190350574
5.037053005,0.7190432463
5.038995839,0.7190432463
5.038995839,0.7190432463
5.038995839,0.719073383
5.046767174,0.719073383
5.046767174,0.7192157705
5.062309844,0.7192157705
5.062309844,0.7192630437
5.066972645,0.7197216087
5.107383587,0.7197434833
5.112823521,0.7197434833
5.112823521,0.7197434833
5.112823521,0.7197712196
5.116709189,0.7197847243
5.119299634,0.7197847243
5.119299634,0.7197906407
5.120594856,0.7199339333
5.143908861,0.7199339333
5.143908861,0.7200803944
5.156861086,0.720127094
5.161782932,0.7201402134
5.163337199,0.7202914974
5.18354267,0.72039118
5.198308207,0.7204686504
5.203304065,0.7204737362
5.203920837,0.7205012822
5.206079542,0.7205012822
5.206079542,0.7206108137
5.217736544,0.7206286948
5.220326989,0.7206354498
5.221622212,0.7207393655
5.239107715,0.7208861269
5.255483028,0.7211472763
5.279907224,0.7211887188
5.283792892,0.7211887188
5.283792892,0.7212589135
5.295449894,0.7212589135
5.295449894,0.7212864344
5.299335562,0.721554859
5.329125679,0.7215881457
5.334306569,0.7216570189
5.345963572,0.7217207746
5.35451204,0.7219035283
5.376271778,0.7219123572
5.377048912,0.7220677992
5.392591582,0.7221650508
5.404248584,0.7223200249
5.426591173,0.7223298256
5.42756259,0.7225301389
5.444076676,0.7226852504
5.462533597,0.7227644241
5.4741906,0.7227713121
5.475485822,0.7228833656
5.486624736,0.7229099753
5.48973327,0.7229288284
5.491287537,0.7229658194
5.497504605,0.7231039611
5.51045683,0.7231039611
5.51045683,0.7231985312
5.528589945,0.7232737188
5.540246947,0.7234265832
5.557732451,0.723441151
5.559675285,0.7234803561
5.562783819,0.7234878165
5.563560952,0.7235579046
5.570037065,0.7237882155
5.603194761,0.7238277542
5.607166777,0.7238478345
5.609633867,0.7238494946
5.610188962,0.7239406871
5.617960297,0.7239406871
5.617960297,0.7239406871
5.617960297,0.7239406871
5.617960297,0.7239406871
5.617960297,0.7239406871
5.617960297,0.7241053047
5.6296173,0.724358395
5.666531141,0.7244014335
5.674518347,0.7244470146
5.680908111,0.7245344078
5.694378425,0.7245593037
5.699559315,0.7245961718
5.703444983,0.7247722781
5.719764786,0.7247976716
5.72287332,0.7247976716
5.72287332,0.7247976716
5.72287332,0.7248049251
5.724427587,0.7249715599
5.754930077,0.7249835768
5.757844328,0.7249918585
5.760175728,0.7250434782
5.777272665,0.7250434782
5.777272665,0.7250631593
5.781158333,0.7250747022
5.782924545,0.7250912739
5.785044,0.7252567926
5.802529504,0.7253586778
5.825195898,0.7253882842
5.830894877,0.7254889121
5.84721468,0.725545587
5.854986015,0.7255927754
5.86042595,0.7256552682
5.874414353,0.7256552682
5.874414353,0.7256575644
5.875191486,0.7256602527
5.875709575,0.725682515
5.879410211,0.7257696328
5.901614026,0.7257874861
5.905499693,0.7258921292
5.921042363,0.7258921292
5.921042363,0.7259414883
5.930478984,0.7259481231
5.932699366,0.7259481231
5.932699366,0.7259849307
5.943061146,0.7260466872
5.956013371,0.7260466872
5.956013371,0.7261115749
5.964756123,0.7261362098
5.967670373,0.7261505026
5.97044585,0.7262026278
5.979327376,0.7264221944
6.001346158,0.7264321507
6.002641381,0.7264321507
6.002641381,0.7264583385
6.009635582,0.7264618759
6.010412716,0.726498744
6.014298383,0.726498744
6.014298383,0.7265024857
6.015075517,0.7265224421
6.018184051,0.7265480768
6.025955386,0.7265707048
6.033726721,0.7267005231
6.064034927,0.7268775187
6.090716511,0.7268794619
6.091040317,0.7268879172
6.092011733,0.7270448668
6.112994338,0.727080063
6.120321597,0.7270862995
6.12231994,0.7270894538
6.123097073,0.7270963822
6.125039907,0.7271092476
6.126982741,0.7272399315
6.150296746,0.7272911902
6.167393683,0.7272936756
6.168059797,0.7273184247
6.173610751,0.7273184247
6.173610751,0.727338415
6.177496419,0.7274371551
6.194704375,0.727502699
6.216353094,0.7275106662
6.218295927,0.7275639458
6.233190986,0.72757191
6.235781431,0.7276082221
6.243552766,0.7276691951
6.251324101,0.7276691951
6.251324101,0.7277063596
6.257541169,0.7277507184
6.265756581,0.727805297
6.279818996,0.7278175843
6.282409441,0.7278701102
6.290180776,0.7279115187
6.301837779,0.727923392
6.305723446,0.7279330346
6.30745041,0.72800907
6.32681707,0.7280917144
6.344580121,0.7280917144
6.344580121,0.7281069897
6.347170566,0.7281173116
6.348465789,0.7281214686
6.349242922,0.7281526807
6.35925931,0.7281559349
6.360122791,0.728200927
6.375665461,0.728200927
6.375665461,0.7282606647
6.383436797,0.7282731351
6.386767369,0.7283125932
6.395093799,0.7283125932
6.395093799,0.7283319697
6.398979467,0.7285040209
6.426179139,0.7285040209
6.426179139,0.7285040209
6.426179139,0.7285040209
6.426179139,0.7285131396
6.427844425,0.7285968657
6.446717667,0.728617412
6.453378812,0.7286457125
6.461150147,0.7287690795
6.503892489,0.7287690795
6.503892489,0.7287769592
6.505187712,0.728778334
6.505557775,0.7287893326
6.507778157,0.7288013701
6.511663824,0.7289365121
6.551297633,0.7290542044
6.589377174,0.7290542044
6.589377174,0.7290620309
6.591708575,0.7290631977
6.591967619,0.7291826431
6.632119517,0.7291826431
6.632119517,0.7291961663
6.636005185,0.7291961663
6.636005185,0.7293270662
6.679857718,0.7293288814
6.680301794,0.7293676214
6.688461696,0.7293780832
6.691958797,0.729467493
6.717604202,0.729467493
6.717604202,0.729541605
6.728484071,0.7295462887
6.729261205,0.7295462887
6.729261205,0.7295462887
6.729261205,0.7295736758
6.735922349,0.7296676201
6.764232212,0.7296910106
6.772003547,0.7296988229
6.773946381,0.7296988229
6.773946381,0.7297041477
6.775112081,0.7297448519
6.782883416,0.7298474692
6.812803056,0.7299058246
6.832054772,0.7299142607
6.834174227,0.7299275487
6.838059895,0.729931726
6.838837028,0.7300244546
6.858598423,0.7300760057
6.875621348,0.7300770491
6.875945153,0.7301874889
6.905226433,0.7302186636
6.915773245,0.7302845951
6.932093049,0.7303086961
6.93908725,0.730477541
6.996400846,0.7304897018
7.000480797,0.7305055452
7.005143598,0.7305514735
7.0168006,0.7305514735
7.0168006,0.7305514735
7.0168006,0.7306794045
7.044000273,0.7308314857
7.096845351,0.7309129505
7.124627874,0.7309295363
7.129484958,0.7309295363
7.129484958,0.7309295363
7.129484958,0.7311986369
7.221186711,0.7312538153
